request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_40,0,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,290.30 request. None of the available options keeps the EUR 1,500.00 minimum protected."
request_41,0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 38,760,000.00 request. None of the available options keeps the IDR 25,366,600.00 minimum protected."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100.00 today. This leaves at least INR 127,073.47 available over the next 90 days."
request_43,0,affordable_later,wait,2024-10-13:43339000,2024-10-13,none,"Wait until 13 October 2024, then pay IDR 43,339,000.00 in full. Paying earlier would put the IDR 21,398,000.00 minimum at risk."
request_44,0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 95,800.00 request. None of the available options keeps the INR 82,900.00 minimum protected."
request_45,0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 21,983,000.00 request. None of the available options keeps the IDR 11,149,800.00 minimum protected."
request_46,0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 49,450.00 request. None of the available options keeps the INR 84,000.00 minimum protected."
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Pay IDR 38,114,000.00 today. This leaves at least IDR 60,798,290.89 available over the next 90 days."
request_48,0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 45,700.00 request. None of the available options keeps the INR 71,300.00 minimum protected."
request_49,0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 34,333,000.00 request. None of the available options keeps the IDR 20,275,700.00 minimum protected."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900.00 today. This leaves at least INR 154,082.62 available over the next 90 days."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000.00 today. This leaves at least IDR 19,125,916.76 available over the next 90 days."
request_52,0,affordable_later,wait,2024-06-14:28870,2024-06-14,none,"Wait until 14 June 2024, then pay INR 28,870.00 in full. Paying earlier would put the INR 41,500.00 minimum at risk."
request_53,0,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 1,699.20 request. None of the available options keeps the USD 2,100.00 minimum protected."
request_54,0,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 121,528.00 request. None of the available options keeps the ZAR 37,000.00 minimum protected."
request_55,0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 218,600.00 request. None of the available options keeps the INR 124,300.00 minimum protected."
request_56,571.08,affordable_with_plan,partial_payment,2025-02-03:571.08|2025-02-14:310.48,2025-02-14,none,"Pay the safe amount today and the remainder on 14 February 2025. This completes the full request and keeps the USD 2,100.00 minimum protected."
request_57,0,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 61,446.00 request. None of the available options keeps the ZAR 42,700.00 minimum protected."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Pay IDR 16,226,000.00 today. This leaves at least IDR 16,733,555.12 available over the next 90 days."
request_59,0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments, starting 07 May 2025. This leaves at least INR 551,776.01 available."
request_60,0,not_affordable,not_recommended,none,,none,Do not proceed with the USD 199.89 request. None of the available options keeps the USD 400.00 minimum protected.
request_61,0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments, starting 17 March 2024. This leaves at least ZAR 134,137.87 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 5,151.44 available over the next 90 days."
request_63,0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 343,900.00 request. None of the available options keeps the INR 153,500.00 minimum protected."
request_64,0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 63,700.00 request. None of the available options keeps the INR 36,100.00 minimum protected."
request_65,0,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 54,340.00 request. None of the available options keeps the ZAR 15,500.00 minimum protected."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200.00 today. This leaves at least INR 270,017.12 available over the next 90 days."
request_67,0,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,094.00 request. None of the available options keeps the USD 1,200.00 minimum protected."
request_68,0,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,091.60 request. None of the available options keeps the USD 1,500.00 minimum protected."
request_69,0,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 529.10 request. None of the available options keeps the EUR 700.00 minimum protected.
request_70,0,not_affordable,not_recommended,none,2025-03-04,none,"Do not proceed with the INR 243,900.00 request. None of the available options keeps the INR 115,000.00 minimum protected."
request_71,0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 21,451,000.00 request. None of the available options keeps the IDR 8,884,800.00 minimum protected."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330.00 today. This leaves at least ZAR 12,457.41 available over the next 90 days."
request_73,0,not_affordable,not_recommended,none,2023-04-15,none,"Do not proceed with the INR 71,400.00 request. None of the available options keeps the INR 103,200.00 minimum protected."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010.00 today. This leaves at least ZAR 63,787.27 available over the next 90 days."
request_75,0,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments, starting 09 April 2026. This leaves at least ZAR 124,801.07 available."
request_76,0,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 4,455.60 request. None of the available options keeps the USD 1,800.00 minimum protected."
request_77,0,not_affordable,not_recommended,none,2026-01-13,none,"Do not proceed with the INR 60,700.00 request. None of the available options keeps the INR 82,200.00 minimum protected."
request_78,0,not_affordable,not_recommended,none,2025-12-14,none,"Do not proceed with the INR 50,200.00 request. None of the available options keeps the INR 55,200.00 minimum protected."
request_79,0,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,151.60 request. None of the available options keeps the EUR 1,000.00 minimum protected."
request_80,0,not_affordable,not_recommended,none,2025-03-25,none,"Do not proceed with the INR 217,500.00 request. None of the available options keeps the INR 121,300.00 minimum protected."
request_81,0,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,076.00 request. None of the available options keeps the USD 1,600.00 minimum protected."
request_82,0,affordable_later,wait,2025-02-13:1405.2,2025-02-13,none,"Wait until 13 February 2025, then pay USD 1,405.20 in full. Paying earlier would put the USD 1,100.00 minimum at risk."
request_83,0,not_affordable,not_recommended,none,2025-07-14,none,"Do not proceed with the INR 156,200.00 request. None of the available options keeps the INR 37,800.00 minimum protected."
request_84,0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 95,400.00 request. None of the available options keeps the INR 91,300.00 minimum protected."
request_85,0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 19,304,000.00 request. None of the available options keeps the IDR 6,396,300.00 minimum protected."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300.00 today. This leaves at least INR 121,796.26 available over the next 90 days."
request_87,0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 487,900.00 request. None of the available options keeps the INR 185,900.00 minimum protected."
request_88,0,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 26,092.00 request. None of the available options keeps the ZAR 25,800.00 minimum protected."
request_89,0,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-14,none,"Use 3 installments, starting 18 November 2025. This leaves at least IDR 20,874,437.33 available."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560.00 today. This leaves at least ZAR 29,069.50 available over the next 90 days."
request_91,0,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,927.20 request. None of the available options keeps the EUR 2,100.00 minimum protected."
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Pay ZAR 34,034.00 today. This leaves at least ZAR 31,744.14 available over the next 90 days."
request_93,0,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 1,729.20 request. None of the available options keeps the USD 1,900.00 minimum protected."
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,"Pay EUR 572.00 today. This leaves at least EUR 2,091.60 available over the next 90 days."
request_95,0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 553,000.00 request. None of the available options keeps the INR 145,500.00 minimum protected."
request_96,0,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-14,none,"Use 3 installments, starting 10 January 2026. This leaves at least INR 83,539.41 available."
request_97,0,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,"Use 3 installments, starting 19 March 2024. This leaves at least ZAR 30,375.67 available."
request_98,0,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 27,148.00 request. None of the available options keeps the ZAR 30,000.00 minimum protected."
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,"Pay ZAR 18,062.00 today. This leaves at least ZAR 49,372.91 available over the next 90 days."
request_100,0,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-14,none,"Use 3 installments, starting 13 June 2024. This leaves at least ZAR 46,023.99 available."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500.00 today. This leaves at least INR 233,597.17 available over the next 90 days."
request_102,0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments, starting 05 April 2026. This leaves at least EUR 3,974.48 available."
request_103,0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 368,300.00 request. None of the available options keeps the INR 125,500.00 minimum protected."
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Pay ZAR 17,204.00 today. This leaves at least ZAR 27,663.47 available over the next 90 days."
request_105,0,not_affordable,not_recommended,none,2026-09-04,none,"Do not proceed with the INR 53,500.00 request. None of the available options keeps the INR 73,900.00 minimum protected."
request_106,0,affordable_later,wait,2025-01-13:2207.7,2025-01-13,none,"Wait until 13 January 2025, then pay EUR 2,207.70 in full. Paying earlier would put the EUR 1,200.00 minimum at risk."
request_107,0,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,534.40 request. None of the available options keeps the EUR 1,600.00 minimum protected."
request_108,0,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 55,308.00 request. None of the available options keeps the ZAR 24,100.00 minimum protected."
request_109,0,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,"Use 3 installments, starting 18 March 2024. This leaves at least EUR 2,238.76 available."
request_110,0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments, starting 06 August 2025. This leaves at least ZAR 51,793.43 available."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000.00 today. This leaves at least IDR 55,384,532.85 available over the next 90 days."
request_112,0,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 271.70 request. None of the available options keeps the EUR 500.00 minimum protected.
request_113,0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 36,500.00 request. None of the available options keeps the INR 82,300.00 minimum protected."
request_114,0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 65,300.00 request. None of the available options keeps the INR 113,400.00 minimum protected."
request_115,0,affordable_later,wait,2024-11-13:80500,2024-11-13,none,"Wait until 13 November 2024, then pay INR 80,500.00 in full. Paying earlier would put the INR 38,800.00 minimum at risk."
request_116,0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 241,200.00 request. None of the available options keeps the INR 80,300.00 minimum protected."
request_117,0,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 880.00 request. None of the available options keeps the EUR 1,000.00 minimum protected."
request_118,0,not_affordable,not_recommended,none,2025-01-14,none,Do not proceed with the EUR 738.10 request. None of the available options keeps the EUR 600.00 minimum protected.
request_119,0,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-05-19,none,"Use 3 installments, starting 18 May 2025. This leaves at least INR 174,973.54 available."
request_120,0,affordable_later,wait,2026-04-14:7714000,2026-04-14,none,"Wait until 14 April 2026, then pay IDR 7,714,000.00 in full. Paying earlier would put the IDR 20,050,300.00 minimum at risk."
request_121,0,not_affordable,not_recommended,none,,none,Do not proceed with the USD 633.60 request. None of the available options keeps the USD 800.00 minimum protected.
request_122,0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments, starting 05 August 2025. This leaves at least IDR 48,508,975.09 available."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000.00 today. This leaves at least IDR 53,633,752.82 available over the next 90 days."
request_124,0,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-14,none,"Use 3 installments, starting 11 June 2024. This leaves at least EUR 1,612.61 available."
request_125,0,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 6,468.00 request. None of the available options keeps the ZAR 11,300.00 minimum protected."
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600.00 today. This leaves at least INR 200,575.00 available over the next 90 days."
request_127,0,affordable_later,wait,2024-09-12:23980,2024-09-12,none,"Wait until 12 September 2024, then pay ZAR 23,980.00 in full. Paying earlier would put the ZAR 41,000.00 minimum at risk."
request_128,0,affordable_later,wait,2025-02-14:25168,2025-02-14,none,"Wait until 14 February 2025, then pay ZAR 25,168.00 in full. Paying earlier would put the ZAR 42,600.00 minimum at risk."
request_129,0,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,668.80 request. None of the available options keeps the USD 800.00 minimum protected."
request_130,0,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 1,978.80 request. None of the available options keeps the USD 1,400.00 minimum protected."
request_131,0,not_affordable,not_recommended,none,2025-07-14,none,"Do not proceed with the USD 1,855.20 request. None of the available options keeps the USD 1,100.00 minimum protected."
request_132,0,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 379.86 request. None of the available options keeps the USD 1,100.00 minimum protected."
request_133,0,not_affordable,not_recommended,none,2024-03-07,none,"Do not proceed with the IDR 15,770,000.00 request. None of the available options keeps the IDR 9,986,200.00 minimum protected."
request_134,0,affordable_later,wait,2025-08-14:21831000,2025-08-14,none,"Wait until 14 August 2025, then pay IDR 21,831,000.00 in full. Paying earlier would put the IDR 15,902,500.00 minimum at risk."
request_135,0,not_affordable,not_recommended,none,,none,Do not proceed with the USD 304.80 request. None of the available options keeps the USD 500.00 minimum protected.
request_136,394.28,affordable_with_plan,partial_payment,2024-06-03:394.28|2024-06-14:166.12,2024-06-14,none,"Pay the safe amount today and the remainder on 14 June 2024. This completes the full request and keeps the USD 1,100.00 minimum protected."
request_137,0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 80,100.00 request. None of the available options keeps the INR 71,800.00 minimum protected."
request_138,0,not_affordable,not_recommended,none,2026-06-13,none,"Do not proceed with the EUR 1,256.94 request. None of the available options keeps the EUR 2,300.00 minimum protected."
request_139,0,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,316.00 request. None of the available options keeps the USD 1,500.00 minimum protected."
request_140,0,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 62,832.00 request. None of the available options keeps the ZAR 21,600.00 minimum protected."
request_141,0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 171,600.00 request. None of the available options keeps the INR 67,300.00 minimum protected."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 4,669.98 available over the next 90 days."
request_143,0,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 12,584.00 request. None of the available options keeps the ZAR 11,300.00 minimum protected."
request_144,0,not_affordable,not_recommended,none,,none,Do not proceed with the USD 233.34 request. None of the available options keeps the USD 600.00 minimum protected.
request_145,0,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-05-15,none,"Use 3 installments, starting 20 March 2024. This leaves at least INR 172,430.80 available."
request_146,0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 449,400.00 request. None of the available options keeps the INR 108,600.00 minimum protected."
request_147,0,not_affordable,not_recommended,none,2026-04-14,none,"Do not proceed with the EUR 1,129.70 request. None of the available options keeps the EUR 900.00 minimum protected."
request_148,0,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-14,none,"Use 3 installments, starting 14 June 2024. This leaves at least ZAR 27,082.99 available."
request_149,0,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-14,none,"Use 3 installments, starting 18 November 2025. This leaves at least ZAR 58,504.48 available."
request_150,0,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 496.10 request. None of the available options keeps the EUR 700.00 minimum protected.
request_151,0,affordable_later,wait,2024-09-13:26999000,2024-09-13,none,"Wait until 13 September 2024, then pay IDR 26,999,000.00 in full. Paying earlier would put the IDR 31,633,600.00 minimum at risk."
request_152,0,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 13,882.00 request. None of the available options keeps the ZAR 11,900.00 minimum protected."
request_153,0,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,830.80 request. None of the available options keeps the USD 1,400.00 minimum protected."
request_154,0,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments, starting 04 December 2024. This leaves at least EUR 1,840.91 available."
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112,500.00 today. This leaves at least INR 72,253.22 available over the next 90 days."
request_156,0,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 43,076.00 request. None of the available options keeps the ZAR 26,900.00 minimum protected."
request_157,0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 23,503,000.00 request. None of the available options keeps the IDR 15,714,100.00 minimum protected."
request_158,0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments, starting 07 August 2025. This leaves at least INR 723,978.93 available."
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,"Pay ZAR 13,398.00 today. This leaves at least ZAR 22,087.52 available over the next 90 days."
request_160,0,not_affordable,not_recommended,none,2024-06-14,none,"Do not proceed with the EUR 1,246.30 request. None of the available options keeps the EUR 1,200.00 minimum protected."
request_161,0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 21,204,000.00 request. None of the available options keeps the IDR 23,010,400.00 minimum protected."
request_162,0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 83,923,000.00 request. None of the available options keeps the IDR 24,161,100.00 minimum protected."
request_163,0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 19,304,000.00 request. None of the available options keeps the IDR 26,728,700.00 minimum protected."
request_164,0,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-14,none,"Use 3 installments, starting 11 February 2025. This leaves at least IDR 46,370,855.09 available."
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"Pay INR 80,600.00 today. This leaves at least INR 268,644.86 available over the next 90 days."
request_166,0,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments, starting 03 December 2024. This leaves at least USD 7,473.18 available."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802.00 today. This leaves at least ZAR 39,082.22 available over the next 90 days."
request_168,0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 49,380.00 request. None of the available options keeps the INR 114,400.00 minimum protected."
request_169,0,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 41,976.00 request. None of the available options keeps the ZAR 18,700.00 minimum protected."
request_170,0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 36,936,000.00 request. None of the available options keeps the IDR 24,715,800.00 minimum protected."
request_171,0,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,878.80 request. None of the available options keeps the EUR 500.00 minimum protected."
request_172,0,not_affordable,not_recommended,none,2024-08-13,none,"Do not proceed with the ZAR 10,200.00 request. None of the available options keeps the ZAR 27,200.00 minimum protected."
request_173,0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 113,000.00 request. None of the available options keeps the INR 79,100.00 minimum protected."
request_174,0,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments, starting 04 April 2026. This leaves at least EUR 2,684.00 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,905.85 available over the next 90 days."
request_176,0,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,239.70 request. None of the available options keeps the EUR 600.00 minimum protected."
request_177,0,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 1,017.60 request. None of the available options keeps the USD 1,300.00 minimum protected."
request_178,0,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments, starting 07 December 2024. This leaves at least EUR 6,715.56 available."
request_179,0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 41,648,000.00 request. None of the available options keeps the IDR 41,430,800.00 minimum protected."
request_180,0,not_affordable,not_recommended,none,2026-09-16,none,"Do not proceed with the INR 66,500.00 request. None of the available options keeps the INR 37,300.00 minimum protected."
request_181,0,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 5,059.20 request. None of the available options keeps the USD 2,000.00 minimum protected."
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay ZAR 65,714.00 today. This leaves at least ZAR 43,013.74 available over the next 90 days."
request_183,0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 26,866,000.00 request. None of the available options keeps the IDR 11,878,300.00 minimum protected."
request_184,0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 251,900.00 request. None of the available options keeps the INR 110,800.00 minimum protected."
request_185,0,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,257.30 request. None of the available options keeps the EUR 1,300.00 minimum protected."
request_186,0,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 26,554.00 request. None of the available options keeps the ZAR 22,000.00 minimum protected."
request_187,0,affordable_later,wait,2024-10-13:187500,2024-10-13,none,"Wait until 13 October 2024, then pay INR 187,500.00 in full. Paying earlier would put the INR 128,300.00 minimum at risk."
request_188,0,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,464.00 request. None of the available options keeps the EUR 900.00 minimum protected."
request_189,0,not_affordable,not_recommended,none,2026-09-13,none,Do not proceed with the EUR 488.40 request. None of the available options keeps the EUR 400.00 minimum protected.
request_190,0,affordable_later,wait,2024-12-15:2557.5,2024-12-15,none,"Wait until 15 December 2024, then pay EUR 2,557.50 in full. Paying earlier would put the EUR 1,600.00 minimum at risk."
request_191,0,affordable_later,wait,2025-06-14:664.4,2025-06-14,none,"Wait until 14 June 2025, then pay EUR 664.40 in full. Paying earlier would put the EUR 500.00 minimum at risk."
request_192,0,not_affordable,not_recommended,none,2026-06-13,none,"Do not proceed with the USD 2,046.00 request. None of the available options keeps the USD 1,000.00 minimum protected."
request_193,0,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,212.20 request. None of the available options keeps the EUR 1,000.00 minimum protected."
request_194,0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 132,800.00 request. None of the available options keeps the INR 113,600.00 minimum protected."
request_195,0,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,170.40 request. None of the available options keeps the EUR 700.00 minimum protected."
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,Pay EUR 762.30 today. This leaves at least EUR 633.78 available over the next 90 days.
request_197,0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 50,939,000.00 request. None of the available options keeps the IDR 26,245,900.00 minimum protected."
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Pay INR 185,800.00 today. This leaves at least INR 164,915.66 available over the next 90 days."
request_199,0,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments, starting 07 September 2024. This leaves at least IDR 131,695,228.09 available."
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"Pay IDR 21,717,000.00 today. This leaves at least IDR 25,345,834.88 available over the next 90 days."
